data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_797.csv,0,4.600893841218229e-05,0.0,4,131,16,333,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_797.csv,0,0.0004600893841218229,0.0,2,78,15,165,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_797.csv,0,0.004600893841218229,0.0,1,105,18,152,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_797.csv,0,0.04600893841218229,0.0,1,29,10,94,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_363.csv,1,4.5678023469888703e-05,0.0,5,83,16,301,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_363.csv,1,0.000456780234698887,0.0,1,93,20,108,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_363.csv,1,0.00456780234698887,0.0,1,83,17,87,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_363.csv,1,0.0456780234698887,0.0,1,5,3,30,3
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_191.csv,2,4.544459636549939e-05,0.0,8,77,24,327,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_191.csv,2,0.0004544459636549939,0.0,1,97,20,178,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_191.csv,2,0.004544459636549939,0.0,1,64,15,123,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_191.csv,2,0.04544459636549939,0.0,1,17,9,89,7
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_195.csv,3,4.5699015425415676e-05,0.0,5,108,15,455,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_195.csv,3,0.00045699015425415676,0.0,2,134,20,190,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_195.csv,3,0.004569901542541568,0.0,1,115,18,196,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_195.csv,3,0.04569901542541568,0.0,1,8,5,147,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_51.csv,4,4.5510218533679125e-05,0.0,4,122,14,362,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_51.csv,4,0.00045510218533679125,0.0,1,97,17,135,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_51.csv,4,0.0045510218533679125,0.0,1,72,16,149,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_51.csv,4,0.04551021853367913,0.0,1,4,3,64,3
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_871.csv,5,4.588770842449386e-05,0.0,5,152,15,422,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_871.csv,5,0.0004588770842449386,0.0,1,126,21,328,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_871.csv,5,0.004588770842449386,0.0,1,149,23,361,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_871.csv,5,0.04588770842449386,0.0,1,12,7,257,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_351.csv,6,4.587385102808169e-05,0.0,7,205,15,426,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_351.csv,6,0.0004587385102808169,0.0,1,170,22,263,28
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_351.csv,6,0.0045873851028081685,0.0,1,136,20,214,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_351.csv,6,0.04587385102808169,0.0,1,11,4,126,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_208.csv,7,4.5802862238925806e-05,0.0,6,119,21,202,29
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_208.csv,7,0.000458028622389258,0.0,1,85,18,161,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_208.csv,7,0.00458028622389258,0.0,2,60,16,146,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_208.csv,7,0.0458028622389258,0.0,2,3,3,79,3
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_660.csv,8,4.587793613830123e-05,0.0,5,111,18,161,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_660.csv,8,0.0004587793613830123,0.0,1,112,13,101,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_660.csv,8,0.004587793613830123,0.0,1,99,15,72,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_660.csv,8,0.04587793613830123,0.0,1,12,7,23,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_884.csv,9,4.577775012788116e-05,0.0,4,161,25,283,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_884.csv,9,0.0004577775012788116,0.0,1,182,21,143,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_884.csv,9,0.004577775012788116,0.0,1,127,17,303,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_884.csv,9,0.04577775012788116,0.0,1,26,9,73,7
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_510.csv,10,4.555102919098819e-05,0.0,6,313,22,262,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_510.csv,10,0.00045551029190988185,0.0,1,189,22,132,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_510.csv,10,0.004555102919098819,0.0,1,125,22,103,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_510.csv,10,0.04555102919098819,0.0,1,18,7,34,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_113.csv,11,4.557589363691699e-05,0.0,6,81,16,382,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_113.csv,11,0.0004557589363691699,0.0,1,103,16,243,23
