data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards,SAMP_iters,SAMP_rewards,SB_iters,SB_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_399.csv,0,4.5191689277906624e-05,0.0,7,122,14,569,15,348,17,198,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_399.csv,0,0.00045191689277906624,0.0,1,142,21,154,21,98,21,66,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_399.csv,0,0.0045191689277906625,0.0,1,98,17,96,15,79,16,45,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_399.csv,0,0.04519168927790662,0.0,1,12,8,75,10,38,6,8,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_223.csv,1,4.5700705275396596e-05,0.0,9,220,22,461,17,461,19,226,31
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_223.csv,1,0.0004570070527539659,0.0,1,123,23,253,27,147,29,68,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_223.csv,1,0.004570070527539659,0.0,1,112,13,210,14,78,18,39,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_223.csv,1,0.045700705275396596,0.0,1,10,5,104,4,6,4,11,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_421.csv,2,4.52275452535827e-05,0.0,5,123,12,293,16,146,14,35,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_421.csv,2,0.00045227545253582704,0.0,1,142,23,144,23,85,21,64,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_421.csv,2,0.00452275452535827,0.0,1,89,14,161,22,102,17,73,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_421.csv,2,0.045227545253582704,0.0,1,10,7,80,6,23,7,6,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_485.csv,3,4.561363855447651e-05,0.0,4,397,16,307,22,138,21,124,30
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_485.csv,3,0.0004561363855447651,0.0,1,241,17,180,23,194,26,47,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_485.csv,3,0.004561363855447651,0.0,1,131,17,133,18,107,19,38,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_485.csv,3,0.04561363855447651,0.0,1,9,5,121,5,107,5,120,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_168.csv,4,4.572580052532607e-05,0.0,4,163,16,242,18,92,17,64,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_168.csv,4,0.00045725800525326065,0.0,1,108,21,168,25,107,22,29,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_168.csv,4,0.0045725800525326064,0.0,1,83,16,154,24,103,19,45,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_168.csv,4,0.04572580052532607,0.0,1,13,8,86,14,21,9,23,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_43.csv,5,4.576359081581751e-05,0.0,6,98,21,370,16,236,20,78,29
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_43.csv,5,0.0004576359081581751,0.0,1,120,19,217,21,84,15,54,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_43.csv,5,0.00457635908158175,0.0,1,131,23,240,17,111,23,21,11
