data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards,SAMP_iters,SAMP_rewards,SB_iters,SB_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_848.csv,0,4.567877330840966e-05,0.0,5,51,18,300,17,212,18,57,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_848.csv,0,0.0004567877330840966,0.0,2,93,25,159,20,163,21,58,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_848.csv,0,0.004567877330840966,0.0,1,74,18,128,19,76,17,15,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_848.csv,0,0.045678773308409665,0.0,2,6,4,140,5,97,6,119,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_592.csv,1,4.575937621063928e-05,0.0,5,85,22,316,16,72,23,62,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_592.csv,1,0.0004575937621063928,0.0,2,98,19,151,22,88,21,76,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_592.csv,1,0.004575937621063928,0.0,1,84,20,65,18,106,18,40,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_592.csv,1,0.04575937621063928,0.0,1,10,8,26,7,10,5,8,7
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_808.csv,2,4.530890111024276e-05,0.0,5,173,17,365,25,115,19,48,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_808.csv,2,0.00045308901110242757,0.0,1,169,20,195,26,111,19,50,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_808.csv,2,0.004530890111024276,0.0,1,117,20,74,24,78,16,45,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_808.csv,2,0.04530890111024276,0.0,1,8,5,177,8,116,6,5,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_172.csv,3,4.572728786590587e-05,0.0,7,540,18,292,12,192,17,77,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_172.csv,3,0.00045727287865905865,0.0,2,232,18,132,24,154,27,128,33
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_172.csv,3,0.004572728786590587,0.0,1,136,19,111,20,101,14,23,9
