data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards,SAMP_iters,SAMP_rewards,SB_iters,SB_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_0.csv,0,4.5474007595095246e-05,0.0,6,350,16,319,18,201,16,77,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_0.csv,0,0.0004547400759509525,0.0,1,165,24,121,21,184,20,122,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_0.csv,0,0.004547400759509525,0.0,1,137,20,111,22,111,14,76,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_0.csv,0,0.04547400759509525,0.0,1,26,11,47,9,38,9,11,7
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_17.csv,1,2.733968059893245e-05,0.0,26,1000,21,1000,3,1000,5,1000,67
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_17.csv,1,0.00027339680598932446,0.0,20,1000,23,1000,3,1000,17,1000,60
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_17.csv,1,0.0027339680598932447,0.0,18,1000,19,1000,3,1000,3,1000,36
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_17.csv,1,0.02733968059893245,0.0,9,1000,17,1000,3,1000,3,1000,31
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_1.csv,2,2.1436215656247654e-05,0.0,47,1000,26,1000,5,1000,7,1000,37
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_1.csv,2,0.00021436215656247653,0.0,41,1000,22,1000,5,1000,5,1000,71
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_1.csv,2,0.0021436215656247654,0.0,39,1000,21,1000,5,1000,8,1000,37
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_1.csv,2,0.021436215656247655,0.0,28,1000,34,1000,6,1000,12,1000,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_4.csv,3,4.588034632472198e-05,0.0,6,210,18,247,14,344,15,58,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_4.csv,3,0.00045880346324721975,0.0,1,157,16,114,21,124,21,35,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_4.csv,3,0.004588034632472197,0.0,1,137,17,109,20,125,26,33,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_4.csv,3,0.04588034632472198,0.0,2,31,12,62,14,21,8,44,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_16.csv,4,4.5750034597709044e-05,0.0,4,183,22,364,20,224,22,116,30
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_16.csv,4,0.0004575003459770904,0.0,1,142,20,170,25,80,15,47,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_16.csv,4,0.004575003459770904,0.0,1,126,21,112,19,86,17,37,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_16.csv,4,0.045750034597709044,0.0,1,11,10,64,5,31,6,6,4
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_6.csv,5,2.8194655272630656e-05,0.0,26,1000,20,1000,3,1000,5,1000,34
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_6.csv,5,0.00028194655272630655,0.0,22,1000,26,1000,3,1000,22,1000,61
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_6.csv,5,0.0028194655272630654,0.0,19,1000,15,1000,3,1000,4,1000,28
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_6.csv,5,0.028194655272630653,0.0,14,1000,11,1000,5,1000,7,1000,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_9.csv,6,4.56743152652432e-05,0.0,7,445,20,424,18,305,18,45,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_9.csv,6,0.000456743152652432,0.0,2,232,23,154,25,108,21,98,27
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_9.csv,6,0.00456743152652432,0.0,1,131,20,146,19,114,17,34,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_9.csv,6,0.0456743152652432,0.0,1,19,8,9,6,11,5,6,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_7.csv,7,4.5471886404116427e-05,0.0,4,223,19,273,17,116,14,73,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_7.csv,7,0.00045471886404116425,0.0,1,210,24,160,21,77,18,39,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_7.csv,7,0.004547188640411643,0.0,1,109,20,28,12,70,15,13,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_7.csv,7,0.045471886404116424,0.0,1,6,6,3,3,4,3,3,3
x_gen_syn_n3_p30_corr0.5_snr5.0_seed2022_8.csv,8,2.685702904180571e-05,0.0,25,1000,23,1000,3,1000,20,1000,13
