data,num_file,L0,L2,Epsilon,RL_iters_p10,RL_rewards_p10,RL_nnz_p10,RL_OG_p10,MF_iters,MF_nnz,MF_OG,SB_iters,SB_nnz,SB_OG,RL_iters_p50,RL_rewards_p50,RL_nnz_p50,RL_OG_p50,RL_iters_p100,RL_rewards_p100,RL_nnz_p100,RL_OG_p100,RL_iters_mixed,RL_rewards_mixed,RL_nnz_mixed,RL_OG_mixed
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_21.csv,0,0.0673146823831237,0.0,0.05,54,-8,5,9.182399335688737e-05,31,5,9.182399335688737e-05,86,5,9.182399335688737e-05,29,27,5,9.182399335688737e-05,29,22,5,9.182399335688737e-05,30,28,5,9.182399335688737e-05
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_0.csv,1,0.0687443405711499,0.0,0.05,115,-12,4,-0.0040944048443733,1000,5,0.0034636542415836,1000,5,0.0034636542415836,35,37,4,0.0,35,31,4,0.0,36,38,4,5.124956274792394e-06
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_8.csv,2,0.0705473370489607,0.0,0.05,63,-8,5,1.0858883061319633e-05,429,5,1.0858883061319633e-05,152,5,9.529499457113546e-05,35,32,5,9.129381012459574e-05,35,26,5,9.129381012459574e-05,34,33,5,9.129381012459574e-05
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_3.csv,3,0.0677978373510348,0.0,0.05,102,-15,5,-0.0003112252558854,29,5,-0.0170539735533232,83,5,-0.0071591191052051,25,25,5,-0.0002211109838754,25,21,5,-0.0002211109838754,26,23,5,-0.0004183068955726
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_14.csv,4,0.0639651698906138,0.0,0.05,101,-27,5,-0.004412588244017,26,5,-0.0087831135766576,66,5,-0.0003910671902954,21,20,5,-0.0019356296456613,21,14,5,-0.0019356296456613,21,21,5,-0.0019356296456613
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_13.csv,5,0.0611929832946536,0.0,0.05,113,-33,5,-0.0005691167845883,31,5,-0.0263111364979987,43,5,-0.0005166423713229,20,17,5,-0.0042371321407689,20,15,5,-0.0039128283531866,20,19,5,-0.0042371321407689
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_15.csv,6,0.0649941309084962,0.0,0.05,65,49,5,-0.0008249110496213,30,5,-0.0052917111285506,97,5,-0.0022355893154556,29,29,5,-0.0052917111285506,29,23,5,-0.0052917111285506,29,27,5,-0.0052917111285506
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_18.csv,7,0.0675533193974798,0.0,0.05,105,-24,5,-0.0014457161089523,31,5,-0.0034457879968813,158,5,-0.0115899248515873,27,26,5,-0.0034457879968813,27,21,5,-0.0034457879968813,27,23,5,-0.0034457879968813
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_7.csv,8,0.0695459503147465,0.0,0.05,73,-12,5,-0.0032641458158433,537,5,-0.0042520191599217,280,5,-0.0032641458158433,36,35,5,-0.0023024619734836,36,27,5,-0.0023024619734836,36,33,5,-0.0023024619734836
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_5.csv,9,0.0649178896390308,0.0,0.05,88,-21,5,-0.0012228816314912,31,5,-0.021011043847118,40,5,-0.0010015124569086,22,23,5,-0.0029817984364455,22,16,5,-0.0029817984364455,22,17,5,-0.006891440226492
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_12.csv,10,0.0645774428846592,0.0,0.05,42,-6,5,-0.0052450013127499,30,5,-0.0091948636475607,85,5,-0.0161201910893559,20,20,5,-0.0055046458615422,20,15,5,-0.0052450013127499,20,19,5,-0.0055046458615422
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_10.csv,11,0.0640873113574047,0.0,0.05,68,-28,5,-0.008069746295814,29,5,-0.0217402101702747,56,5,-0.0250994849275693,22,21,5,-0.008069746295814,22,16,5,-0.008069746295814,23,24,5,-0.0089208539055647
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_6.csv,12,0.0646059968854806,0.0,0.05,47,14,5,-0.0021293460474435,30,5,-0.0021293460474435,80,5,-0.0201597779097563,27,23,5,-0.0021293460474435,27,18,5,-0.0021293460474435,27,28,5,-0.0021293460474435
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_11.csv,13,0.0704085851495429,0.0,0.05,135,-16,5,-0.001034932206921,68,5,-0.0007802330784116,99,5,-0.0007802330784116,30,30,5,-0.0007802330784116,30,24,5,-0.0007802330784116,30,32,5,-0.0007802330784116
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_24.csv,14,0.0658536723241586,0.0,0.05,126,-17,5,-0.004611877133023,31,5,-0.0168939472429302,67,5,-0.0032824330416316,23,24,5,-0.0059757692860854,22,17,5,-0.0059757692860854,23,20,5,-0.0059757692860854
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_19.csv,15,0.0639553792181076,0.0,0.05,100,-26,5,-0.00146440201451,31,5,-0.0174023748272701,55,5,-0.0043809734473778,22,23,5,-0.0016995542145939,22,16,5,-0.0016995542145939,22,19,5,-0.0016995542145939
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_4.csv,16,0.0670489371744139,0.0,0.05,41,-1,5,-0.0014124649854806,31,5,-0.0082583038742363,127,5,-4.4573276276193e-05,25,24,5,-0.0019052070559354,26,19,5,-0.0019052070559354,25,19,5,-0.0019052070559354
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_17.csv,17,0.0660951517778963,0.0,0.05,63,51,5,-0.0006820437132148,31,5,-0.0182019429700161,60,5,-0.0056755550427042,27,22,5,-0.0117990073219793,28,25,5,-0.010851476827438,28,24,5,-0.0037294412252702
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_9.csv,18,0.0646196151985722,0.0,0.05,45,5,5,-0.001917148873982,30,5,-0.0146836339742113,50,5,-0.0114528911297263,25,21,5,-0.0026045683855876,26,18,5,-0.0041226837187479,26,24,5,-0.0026045683855876
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_22.csv,19,0.0638248565034854,0.0,0.05,121,-23,5,-0.0012655965337241,31,5,-0.0019283260565541,85,5,-0.0019283260565541,26,21,5,-0.0015843119485791,24,20,5,-0.0013513663967752,24,26,5,-0.0013513663967752
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_23.csv,20,0.0633289790697458,0.0,0.05,54,-16,5,-0.0147900444453069,31,5,-0.0207928361387728,54,5,-0.0026195972709712,23,23,5,2.013718207267424e-05,22,17,5,2.013718207267424e-05,22,21,5,-0.0026195972709712
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_16.csv,21,0.0673924717965566,0.0,0.05,144,-17,5,-0.0048276216703777,884,5,-0.0163773685266272,477,5,-0.002626146063055,33,29,5,-0.0003391175483956,32,24,5,-0.0003391175483956,32,32,5,-0.0003391175483956
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_1.csv,22,0.064308646968743,0.0,0.05,111,-14,5,-0.0044939858087581,31,5,-0.0177492852610599,83,5,-0.0228136383011241,22,20,5,-0.006691132265021,22,17,5,-0.006691132265021,22,19,5,-0.006691132265021
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_20.csv,23,0.065792263462721,0.0,0.05,39,12,5,-0.0006417776917617,31,5,-0.0084837498451218,120,5,-0.010828964060353,24,21,5,-0.0006417776917617,25,18,5,-0.0053786336699841,25,20,5,-0.0043736895765626
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_2.csv,24,0.0636776741121962,0.0,0.05,48,-10,5,3.9974492247625975e-05,27,5,-0.0029183102537151,55,5,3.9974492247625975e-05,22,23,5,-0.0029183102537151,22,17,5,3.9974492247625975e-05,22,22,5,-0.0029183102537151
