data,num_file,L0,L2,RL-MX_iters,RL-MX_rewards,RL-MX_nnz,RL-MX_OG,RL-SB_iters,RL-SB_rewards,RL-SB_nnz,RL-SB_OG,MF_iters,MF_nnz,MF_OG
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_97.csv,0,0.06713250793504225,0.0,278,-277,5,-0.0028052901356989852,521,-520,5,-0.00026768815536832853,568,5,-0.00026768815536832853
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_72.csv,1,0.0606949667291637,0.0,528,-527,5,-0.011656979470357029,218,-217,5,-0.004266877337157473,31,5,-0.03204664863028025
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_27.csv,2,0.06414844817744941,0.0,382,-381,5,-0.020860035127453987,168,-167,5,-0.03658984110578376,29,5,-0.020133866088897716
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_33.csv,3,0.06398799547260688,0.0,303,-302,5,-0.0234485665082042,230,-229,5,-7.189948088316187e-06,25,5,-0.00239087999549798
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_9.csv,4,0.06461961519857225,0.0,445,-444,5,-0.046890761795425874,234,-233,5,-0.009651953143123866,30,5,-0.014683633974211133
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_69.csv,5,0.06311244110957433,0.0,385,-384,5,-0.0011486272750322324,190,-189,5,-0.0026524964130339246,31,5,-0.013864538483472941
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_2.csv,6,0.06367767411219628,0.0,361,-360,5,-0.06352658667894885,182,-181,5,-0.015504572870385324,27,5,-0.0029183102537151946
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_47.csv,7,0.06521251244591347,0.0,415,-414,5,-0.0010011872923363343,217,-216,5,-0.0032101614196387907,31,5,-0.006673512511190759
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_78.csv,8,0.06654692262583917,0.0,366,-365,5,-0.022643265874345998,226,-225,5,-0.006316456219837625,31,5,-0.006316456219837625
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_31.csv,9,0.06526995568245131,0.0,434,-433,5,-0.03754935657050516,190,-189,5,-0.03208866514825524,28,5,-0.01756171629583909
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_29.csv,10,0.06774732879511826,0.0,371,-370,5,-0.003978408119882898,824,-823,5,-0.011164366872840285,31,5,-0.0019541482544358246
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_86.csv,11,0.06573625604212377,0.0,296,-295,5,-0.04093149846340801,845,-844,5,-0.0025053657204447007,31,5,-0.017094758057413284
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_62.csv,12,0.06711068232771038,0.0,460,-459,5,-0.013496346418371096,253,-252,5,-0.007178941153164911,31,5,-0.007178941153164911
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_16.csv,13,0.06739247179655662,0.0,322,-321,5,-0.013030941540818023,511,-510,5,-0.0003391175483956508,884,5,-0.016377368526627245
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_58.csv,14,0.07202097904170722,0.0,525,-524,5,-0.005635298671485627,1000,-999,5,0.0035627102518258538,178,5,-0.002103435770735363
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_41.csv,15,0.0703648714244788,0.0,328,-327,4,-0.008505825410048368,1000,-999,5,0.006328281547124629,1000,5,0.0023643296542402385
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_60.csv,16,0.06444053435358578,0.0,550,-549,5,-0.014585033753324657,601,-600,5,-0.046032395069147254,27,5,-0.0032580241656394943
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_49.csv,17,0.06494031551778445,0.0,520,-519,5,-0.03391456599475538,218,-217,5,-0.004447785864023434,28,5,-0.007539239764941507
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_44.csv,18,0.06591243831783035,0.0,376,-375,5,-0.003197479113254911,179,-178,5,-0.010147642214704728,29,5,-0.012665560852856871
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_7.csv,19,0.06954595031474659,0.0,363,-362,5,-0.019282014414920508,1000,-999,5,0.008364571239497178,537,5,-0.004252019159921763
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_35.csv,20,0.06448681349331821,0.0,421,-420,5,-0.048317999715076936,1000,-999,5,0.023741135998882508,30,5,-0.01945826868424226
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_74.csv,21,0.06724552610594582,0.0,807,-806,5,-0.01628006070101776,446,-445,5,-0.006709569702550362,30,5,-0.003445365592715559
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_63.csv,22,0.06649530657108492,0.0,500,-499,5,-0.025837930280569788,160,-159,5,-0.008705906948217377,658,5,-0.0034850847208039914
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_5.csv,23,0.06491788963903082,0.0,321,-320,5,-0.0471421313853072,176,-175,5,-0.005951937766984487,31,5,-0.021011043847118032
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_6.csv,24,0.0646059968854806,0.0,265,-264,5,-0.02609552890502383,225,-224,5,-0.006736853999748979,30,5,-0.002129346047443653
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_85.csv,25,0.06366494979492296,0.0,339,-338,5,-0.016352174144041075,169,-168,5,-0.006563693693970361,31,5,-0.0107421399322274
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_66.csv,26,0.0656296290117081,0.0,375,-374,5,-0.03476734686522543,379,-378,5,-0.009200860837990803,31,5,-0.015909745187045313
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_68.csv,27,0.0630111674902147,0.0,367,-366,5,-0.04661838719785434,225,-224,5,-0.016658409189343047,30,5,-0.016658409189343047
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_64.csv,28,0.06672565910775881,0.0,877,-876,5,-0.011264173070437864,188,-187,5,-0.002187081511079727,71,5,-0.002187081511079727
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_45.csv,29,0.06520191385555425,0.0,387,-386,5,-0.006100847611594644,1000,-999,5,0.02027310011221838,31,5,-0.016996400208055276
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_11.csv,30,0.07040858514954292,0.0,756,-755,5,-0.0038391539965787255,265,-264,5,-0.0012654189280925207,68,5,-0.0007802330784116564
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_83.csv,31,0.06586272524112244,0.0,318,-317,5,-0.014466116446228272,373,-372,5,-0.03163195105041421,30,5,-0.01691847390074568
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_30.csv,32,0.07088464681711555,0.0,199,-198,4,-0.008641296114690751,1000,-999,4,0.009244663080191373,661,4,-0.0017564255694592747
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_67.csv,33,0.0637696343543421,0.0,363,-362,5,-0.02447425160592437,199,-198,5,-0.003294064305268421,31,5,-0.01992980859396617
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_70.csv,34,0.06790494120123024,0.0,445,-444,5,-0.021554726762595896,705,-704,5,-0.02266404847242206,31,5,-0.009731156026930454
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_89.csv,35,0.06306254277043792,0.0,578,-577,5,-0.01768644465492388,229,-228,5,-0.0007749854737955042,31,5,-0.01768644465492388
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_53.csv,36,0.06438581966143178,0.0,560,-559,5,-0.035035594015267776,191,-190,5,-0.010977967975353678,31,5,-0.012741319779389096
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_8.csv,37,0.07054733704896074,0.0,303,-302,5,9.129381012459574e-05,247,-246,5,-0.00346953185045507,429,5,1.0858883061319631e-05
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_3.csv,38,0.06779783735103481,0.0,518,-517,5,-0.008386925549400506,349,-348,5,-0.017053973553323217,29,5,-0.017053973553323217
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_25.csv,39,0.06976741503752013,0.0,436,-435,5,-0.019697388293805303,1000,-999,5,0.055961235025785296,31,5,-0.002564018896419718
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_40.csv,40,0.06320212343083137,0.0,483,-482,5,-0.0519123942972455,250,-249,5,-0.0025833649494658223,31,5,-0.005162219132751263
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_36.csv,41,0.06749704261041131,0.0,327,-326,5,-0.026629729328701345,236,-235,5,-0.011153455590574962,31,5,-0.011153455590574962
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_65.csv,42,0.06844414507219496,0.0,432,-431,5,-0.021495732543902524,793,-792,5,-0.01591983940149548,31,5,-0.00226313536797297
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_50.csv,43,0.06535713042045314,0.0,514,-513,5,-0.01606600999904586,246,-245,5,-0.004334741879499633,31,5,-0.00369054382687696
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_26.csv,44,0.0666709869360617,0.0,374,-373,5,-0.01042331676473525,215,-214,5,-0.005169030887747668,28,5,-0.0007128472312298697
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_48.csv,45,0.07302863352673764,0.0,1000,-999,5,0.021501842325167036,1000,-999,5,0.005797797997814257,580,5,-0.00013098162761749436
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_39.csv,46,0.06194222837476012,0.0,369,-368,5,-0.001514015029327234,231,-230,5,-0.0035777617455014506,31,5,-0.02663006306486881
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_21.csv,47,0.06731468238312378,0.0,329,-328,5,-0.021054288607818696,340,-339,5,-0.02719007515078305,31,5,9.182399335688737e-05
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_88.csv,48,0.06622957427005975,0.0,346,-345,5,-0.04848217909933563,405,-404,5,-0.011760214785991903,28,5,-0.0007183591255835101
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_37.csv,49,0.06875471352471754,0.0,407,-406,4,-0.018882269136059608,184,-183,4,-0.0008527317668949107,660,4,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_76.csv,50,0.06585243433771161,0.0,584,-583,5,-0.02684665377351194,1000,-999,5,0.03379906490904225,31,5,-0.008633043672046491
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_61.csv,51,0.06809067253433555,0.0,301,-300,5,-0.020288182823313815,217,-216,5,-0.0014242121736310538,30,5,-0.010865857402274947
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_57.csv,52,0.0644413674360896,0.0,385,-384,5,-0.020651498211695634,900,-899,5,-0.05307156323768408,28,5,-0.020223515358817216
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_90.csv,53,0.0636247969399557,0.0,504,-503,5,-0.030433390369581634,231,-230,5,-0.007191302023976982,26,5,-0.0023729180179735596
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_91.csv,54,0.07068191549919182,0.0,355,-354,5,-0.003934396610073129,1000,-999,5,0.009678300634903993,559,5,-0.001249042178325965
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_87.csv,55,0.07018946632102678,0.0,529,-528,5,-0.013920387545366387,261,-260,5,-0.005296127563703023,92,5,-0.002002599652665338
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_99.csv,56,0.06775974382783953,0.0,391,-390,5,-0.03536615617651512,217,-216,5,-0.0004212093668878083,31,5,-0.010691141372454235
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_43.csv,57,0.06806393283925764,0.0,1000,-999,5,0.009987076195815573,235,-234,5,-0.0015383967772444101,487,5,-0.0015384224147636401
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_0.csv,58,0.06874434057114996,0.0,212,-211,4,-0.004094404844373336,261,-260,4,-0.03332167243039191,1000,5,0.0034636542415836594
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_51.csv,59,0.0650328388777332,0.0,374,-373,5,-0.017796613290535338,216,-215,5,-0.005422460520889386,31,5,-0.014606775291684198
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_92.csv,60,0.07217833428768322,0.0,424,-423,4,-0.0036894771392129064,228,-227,4,-0.00027468129712920794,550,4,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_82.csv,61,0.06601788446571125,0.0,338,-337,5,-0.03714543410792892,231,-230,5,-0.004905630907243284,27,5,-0.007844250250320022
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_24.csv,62,0.06585367232415863,0.0,628,-627,5,-0.016893947242930293,209,-208,5,-0.005641759225326486,31,5,-0.016893947242930293
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_12.csv,63,0.06457744288465925,0.0,337,-336,5,-0.008182074911776254,187,-186,5,-0.0012825226039249258,30,5,-0.009194863647560772
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_79.csv,64,0.06697349984199392,0.0,424,-423,5,-0.004887436957213559,279,-278,5,-0.0010722205148477823,30,5,-0.0010722205148477823
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_19.csv,65,0.0639553792181076,0.0,307,-306,5,-0.02219293325937262,610,-609,5,-0.02219293325937262,31,5,-0.017402374827270133
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_94.csv,66,0.06272571908078892,0.0,368,-367,5,-0.03061896752990705,750,-749,5,-0.019459329701112454,30,5,-0.004655095722291386
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_42.csv,67,0.06596906504580419,0.0,360,-359,5,-0.04031995079638474,196,-195,5,-0.0023848543795643184,31,5,-0.0011760542585837691
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_95.csv,68,0.06866476877173354,0.0,714,-713,4,-0.03429160834559173,184,-183,4,-0.011623470378852052,935,4,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_98.csv,69,0.06507761876592574,0.0,458,-457,5,-0.007223330931518845,434,-433,5,-0.005161293527609866,31,5,-0.020336032076423986
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_17.csv,70,0.06609515177789635,0.0,278,-277,5,-0.01922083970008879,240,-239,5,-0.001646157574750483,31,5,-0.018201942970016118
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_1.csv,71,0.064308646968743,0.0,684,-683,5,-0.05802609328683511,660,-659,5,-0.017420125313694235,31,5,-0.017749285261060104
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_23.csv,72,0.06332897906974584,0.0,433,-432,5,-0.02385833687386183,559,-558,5,-0.012201060386136131,31,5,-0.02079283613877298
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_56.csv,73,0.06591290560035282,0.0,377,-376,5,-0.035136720657351135,201,-200,5,-0.001615793767268643,29,5,-0.0007242460662886603
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_46.csv,74,0.06564592882240007,0.0,416,-415,5,-0.003299829913995983,265,-264,5,-0.021712314352480968,31,5,-0.0047402034240002985
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_81.csv,75,0.06425869574949604,0.0,397,-396,5,-0.03694391214486162,174,-173,5,-0.023866367634785186,31,5,-0.005981600896042706
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_77.csv,76,0.0650586817840007,0.0,363,-362,5,-0.030807656611125167,489,-488,5,-0.023360815156061608,496,5,-0.021929891636785524
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_55.csv,77,0.06498338427112126,0.0,388,-387,5,-0.016227515155314225,307,-306,5,-0.013192196749914585,29,5,-0.0048279220101720205
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_75.csv,78,0.06729554474198361,0.0,382,-381,5,-0.014581290969847373,249,-248,5,-0.00953503093510126,31,5,-0.0063352182820998314
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_32.csv,79,0.06861788925837255,0.0,352,-351,5,-0.012495683436603693,374,-373,5,-0.01057083251307415,616,5,-0.025676612813022307
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_18.csv,80,0.06755331939747983,0.0,318,-317,5,-0.005719280228243133,217,-216,5,-0.0036465570850427948,31,5,-0.0034457879968813536
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_84.csv,81,0.06542996077338722,0.0,540,-539,5,-0.010263596339767223,175,-174,5,-0.02238874891497034,31,5,-0.0027729696084048115
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_34.csv,82,0.06634406773196516,0.0,343,-342,5,-0.026280578387082875,240,-239,5,-0.003435782186722869,31,5,-0.0029661549760267103
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_10.csv,83,0.06408731135740478,0.0,377,-376,5,-0.026548323083663148,196,-195,5,-0.011092603136602344,29,5,-0.021740210170274755
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_59.csv,84,0.06539593620953515,0.0,388,-387,5,-0.020686810494955604,1000,-999,5,0.016733647932789288,31,5,-0.00944212574173571
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_15.csv,85,0.06499413090849626,0.0,459,-458,5,-0.013937182481724479,1000,-999,5,0.0699137012634826,30,5,-0.005291711128550645
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_28.csv,86,0.0676294881775664,0.0,379,-378,5,-0.0142787849046777,856,-855,5,-0.006081522946537647,31,5,-0.002028913644586905
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_93.csv,87,0.06426312437483432,0.0,491,-490,5,-0.019484882310255656,263,-262,5,-0.002285380275047441,30,5,-0.010307683521690859
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_14.csv,88,0.0639651698906138,0.0,332,-331,5,-0.013161374275865454,195,-194,5,-0.005501250160261363,26,5,-0.008783113576657625
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_38.csv,89,0.0649185047224752,0.0,358,-357,5,-0.003285751687900822,215,-214,5,-0.00017432783241204576,28,5,-0.0032400121126669244
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_80.csv,90,0.06789064973077555,0.0,401,-400,5,-0.018941770234678013,171,-170,5,-0.010421132765734796,367,5,-0.018769001681472396
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_73.csv,91,0.06494145292244353,0.0,594,-593,5,-0.02561396264748005,337,-336,5,-0.031263367165144954,30,5,-0.0007201513742443844
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_96.csv,92,0.06905189786716819,0.0,192,-191,5,-0.008907780691091216,1000,-999,5,0.059708293454334795,31,5,-0.0035382799179125863
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_4.csv,93,0.06704893717441397,0.0,532,-531,5,-0.03705746619212956,946,-945,5,-0.04275054299883123,31,5,-0.008258303874236324
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_22.csv,94,0.06382485650348547,0.0,333,-332,5,-0.004319749471226208,205,-204,5,-0.003993288358973354,31,5,-0.0019283260565541823
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_52.csv,95,0.06549701003082732,0.0,445,-444,5,-0.008498471018886566,190,-189,5,-0.001825757677091662,27,5,-0.004866053488623285
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_54.csv,96,0.06884382030614764,0.0,349,-348,5,-0.00046014862774978446,235,-234,5,-0.001304990948791789,199,5,-0.005229104675533073
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_71.csv,97,0.06492687497207938,0.0,433,-432,5,-0.04238031358365882,508,-507,5,-0.030418734696137876,31,5,-0.001665159374351224
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_13.csv,98,0.06119298329465365,0.0,355,-354,5,-0.03316790527597917,232,-231,5,-0.0009036920720387437,31,5,-0.026311136497998763
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_20.csv,99,0.06579226346272106,0.0,326,-325,5,-0.027642069266324173,233,-232,5,-0.008483749845121734,31,5,-0.008483749845121734
