data,num_file,L0,L2,Epsilon,RL_iters,RL_rewards,RL_nnz,RL_OG,MF_iters,MF_nnz,MF_OG
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_21.csv,0,0.06731468238312378,0.0,0.05,514,-428,5,1.5888444783455103e-07,31,5,9.182399335688737e-05
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_0.csv,1,0.06874434057114996,0.0,0.05,600,-493,4,-0.0005673432586415692,1000,5,0.0034636542415836594
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_8.csv,2,0.07054733704896074,0.0,0.05,1000,-934,5,0.018872583514644367,429,5,1.0858883061319631e-05
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_3.csv,3,0.06779783735103481,0.0,0.05,617,-565,5,-0.0023360681834819516,29,5,-0.017053973553323217
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_14.csv,4,0.0639651698906138,0.0,0.05,549,-500,5,-0.0028027599869786726,26,5,-0.008783113576657625
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_13.csv,5,0.06119298329465365,0.0,0.05,560,-518,5,-0.00031542843532092083,31,5,-0.026311136497998763
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_15.csv,6,0.06499413090849626,0.0,0.05,740,-678,5,-0.0010536268206567082,30,5,-0.005291711128550645
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_18.csv,7,0.06755331939747983,0.0,0.05,831,-789,5,-0.022073742995687127,31,5,-0.0034457879968813536
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_7.csv,8,0.06954595031474659,0.0,0.05,725,-662,5,-0.0006893111085116681,537,5,-0.004252019159921763
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_5.csv,9,0.06491788963903082,0.0,0.05,583,-531,5,-0.005289436878567686,31,5,-0.021011043847118032
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_12.csv,10,0.06457744288465925,0.0,0.05,524,-459,5,-0.0039045480656247854,30,5,-0.009194863647560772
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_10.csv,11,0.06408731135740478,0.0,0.05,546,-510,5,-0.0020897501817444156,29,5,-0.021740210170274755
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_6.csv,12,0.0646059968854806,0.0,0.05,687,-647,5,-0.005092254237757554,30,5,-0.002129346047443518
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_11.csv,13,0.07040858514954292,0.0,0.05,486,-393,5,-0.0019774672473677965,68,5,-0.0007802330784116564
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_24.csv,14,0.06585367232415863,0.0,0.05,602,-529,5,-0.004362676945859137,31,5,-0.016893947242930293
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_19.csv,15,0.0639553792181076,0.0,0.05,470,-404,5,-0.01009825910307707,31,5,-0.017402374827270133
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_4.csv,16,0.06704893717441397,0.0,0.05,592,-530,5,-0.001870777753763728,31,5,-0.008258303874236324
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_17.csv,17,0.06609515177789635,0.0,0.05,577,-522,5,-0.019634466019629142,31,5,-0.018201942970016118
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_9.csv,18,0.06461961519857225,0.0,0.05,511,-447,5,-0.0019367709702597144,30,5,-0.014683633974211397
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_22.csv,19,0.06382485650348547,0.0,0.05,449,-389,5,-0.04332918394553281,31,5,-0.0019283260565541823
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_23.csv,20,0.06332897906974584,0.0,0.05,674,-616,5,-0.0034297196251823524,31,5,-0.02079283613877285
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_16.csv,21,0.06739247179655662,0.0,0.05,479,-378,5,-0.0025010019469818108,884,5,-0.016377368526627245
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_1.csv,22,0.064308646968743,0.0,0.05,470,-431,5,-0.01114072427542084,31,5,-0.01774928526105997
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_20.csv,23,0.06579226346272106,0.0,0.05,768,-726,5,-0.003284041207794677,31,5,-0.008483749845121869
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_2.csv,24,0.06367767411219628,0.0,0.05,644,-581,5,-0.008830550177686448,27,5,-0.0029183102537151946
