data,num_file,L0,L2,Epsilon,RL_iters,RL_rewards,RL_nnz,RL_OG,MF_iters,MF_nnz,MF_OG,SB_iters,SB_nnz,SB_OG
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_3.csv,0,0.01,0.0,0.05,7,0,1,0.0,54,1,0.0,33,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_16.csv,1,0.01,0.0,0.05,5,0,1,-0.8167131913677678,72,1,0.0,6,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_19.csv,2,0.01,0.0,0.05,5,0,1,-0.7644515539077836,82,1,0.0,31,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_15.csv,3,0.01,0.0,0.05,5,0,1,-0.7654614436934759,69,1,0.0,36,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_52.csv,4,0.01,0.0,0.05,8,0,1,6.215244944370743e-05,38,1,0.0,21,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_20.csv,5,0.01,0.0,0.05,6,0,1,-0.8094381826382266,57,1,0.0,8,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_1.csv,6,0.01,0.0,0.05,6,0,2,0.0,60,2,0.0,16,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_91.csv,7,0.01,0.0,0.05,8,0,1,-0.7582960854398879,111,1,0.0,18,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_94.csv,8,0.01,0.0,0.05,10,0,1,0.0,59,1,0.0,27,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_58.csv,9,0.01,0.0,0.05,8,0,1,-0.8045923674880844,70,1,0.0,23,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_23.csv,10,0.01,0.0,0.05,9,0,1,0.0,51,1,0.0,30,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_66.csv,11,0.01,0.0,0.05,2,0,1,-0.7590289536821021,198,1,0.0,156,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_56.csv,12,0.01,0.0,0.05,6,0,1,-0.7534531221122066,94,1,0.0,39,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_46.csv,13,0.01,0.0,0.05,5,0,1,-0.7490876318295495,96,3,0.0,65,3,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_81.csv,14,0.01,0.0,0.05,9,0,1,-0.7739839934125781,43,1,0.0,23,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_10.csv,15,0.01,0.0,0.05,5,0,1,-0.7666732233081921,8,1,0.0,5,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_51.csv,16,0.01,0.0,0.05,4,0,1,-0.7631451100552591,69,1,0.0,4,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_88.csv,17,0.01,0.0,0.05,7,0,1,0.0,12,1,0.0,22,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_8.csv,18,0.01,0.0,0.05,2,0,1,2.1192404550488588e-05,92,1,0.0,38,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_69.csv,19,0.01,0.0,0.05,6,0,1,9.320649415779661e-07,37,1,0.0,16,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_26.csv,20,0.01,0.0,0.05,6,0,1,-0.7720391802166757,152,1,0.0,38,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_14.csv,21,0.01,0.0,0.05,8,0,1,3.3523386385722135e-05,60,1,0.0,36,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_30.csv,22,0.01,0.0,0.05,6,0,1,-0.779724653419136,14,1,0.0,10,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_18.csv,23,0.01,0.0,0.05,6,0,1,0.0,14,1,0.0,8,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_62.csv,24,0.01,0.0,0.05,6,0,1,-0.7967883202435099,203,1,0.0,13,1,0.0
