data,num_file,L0,L2,Epsilon,RL_iters,RL_rewards,RL_nnz,RL_OG,MF_iters,MF_rewards,MF_nnz,MF_OG,R_iters,R_rewards,R_nnz,R_OG
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_39.csv,0,0.01,0.0,0.99,11,-10,1,0.0,73,-72,1,0.0,17,-16,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_96.csv,1,0.01,0.0,0.9774081302912798,111,-110,1,0.0,111,-110,1,0.0,59,-58,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_145.csv,2,0.01,0.0,0.964976417332823,97,-96,1,0.0,96,-95,1,0.0,48,-47,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_141.csv,3,0.01,0.0,0.9527028240812648,13,-12,1,0.0,13,-12,1,0.0,34,-33,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_209.csv,4,0.01,0.0,0.9405853394025165,42,-41,1,0.0,42,-41,1,0.0,78,-77,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_21.csv,5,0.01,0.0,0.9286219777422252,121,-120,2,0.0,119,-118,2,0.0,33,-32,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_50.csv,6,0.01,0.0,0.9168107788004223,52,-51,1,0.0,217,-216,1,0.0,154,-153,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_90.csv,7,0.01,0.0,0.9051498072103156,224,-223,1,0.0,214,-213,1,0.0,16,-15,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_171.csv,8,0.01,0.0,0.893637152221158,28,-27,1,0.0,28,-27,1,0.0,426,-425,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_211.csv,9,0.01,0.0,0.8822709273851568,132,-131,2,0.0,119,-118,2,0.0,69,-68,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_75.csv,10,0.01,0.0,0.8710492702483629,100,-99,1,0.0,97,-96,1,0.0,154,-153,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_152.csv,11,0.01,0.0,0.8599703420454906,111,-110,1,0.0,102,-101,1,0.0,116,-115,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_32.csv,12,0.01,0.0,0.8490323273986208,265,-264,1,0.0,243,-242,1,0.0,93,-92,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_84.csv,13,0.01,0.0,0.8382334340197369,123,-122,2,0.0,107,-106,2,0.0,141,-140,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_85.csv,14,0.01,0.0,0.8275718924170403,12,-11,1,0.0,22,-21,1,0.0,55,-54,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_78.csv,15,0.01,0.0,0.8170459556050057,81,-80,1,0.0,71,-70,1,0.0,544,-543,2,-0.7456572971482793
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_143.csv,16,0.01,0.0,0.8066538988181217,43,-42,1,0.0,32,-31,1,0.0,158,-157,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_34.csv,17,0.01,0.0,0.7963940192282739,64,-63,1,0.0,51,-50,1,0.0,23,-22,1,6.366243188846639e-06
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_13.csv,18,0.01,0.0,0.7862646356657214,96,-95,1,0.0,83,-82,1,0.0,36,-35,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_164.csv,19,0.01,0.0,0.7762640883436226,16,-15,1,0.0,15,-14,1,0.0,41,-40,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_206.csv,20,0.01,0.0,0.7663907385860653,18,-17,1,0.0,128,-127,1,0.0,155,-154,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_193.csv,21,0.01,0.0,0.7566429685595547,80,-79,1,0.0,147,-146,1,0.0,36,-35,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_243.csv,22,0.01,0.0,0.7470191810079172,37,-36,1,8.097067476159697e-06,91,-90,1,0.0,88,-87,1,8.123520334369065e-06
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_74.csv,23,0.01,0.0,0.7375177989905772,101,-100,1,0.0,84,-83,1,0.0,153,-152,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_12.csv,24,0.01,0.0,0.7281372656241614,82,-81,1,0.0,72,-71,1,0.0,35,-34,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_55.csv,25,0.01,0.0,0.71887604382739,225,-224,1,0.0,174,-173,1,0.0,67,-66,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_11.csv,26,0.01,0.0,0.7097326160692131,83,-82,1,0.0,66,-65,1,0.0,107,-106,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_134.csv,27,0.01,0.0,0.7007054841201497,129,-128,1,0.0,107,-106,1,0.0,167,-166,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_64.csv,28,0.01,0.0,0.6917931688067901,126,-125,1,0.0,108,-107,1,0.0,29,-28,2,-0.7801643388216001
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_186.csv,29,0.01,0.0,0.682994209769418,68,-67,1,0.0,48,-47,1,0.0,65,-64,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_38.csv,30,0.01,0.0,0.6743071652227244,25,-24,1,0.0,62,-61,1,0.0,122,-121,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_217.csv,31,0.01,0.0,0.6657306117195513,23,-22,1,0.0,15,-14,1,0.0,60,-59,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_101.csv,32,0.01,0.0,0.6572631439176526,30,-29,1,0.0,99,-98,1,0.0,25,-24,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_239.csv,33,0.01,0.0,0.6489033743494148,44,-43,1,0.0,41,-40,1,0.0,137,-136,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_111.csv,34,0.01,0.0,0.6406499331945089,10,-9,1,0.0,11,-10,1,0.0,53,-52,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_110.csv,35,0.01,0.0,0.6325014680554323,21,-20,1,0.0,14,-13,1,0.0,115,-114,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_79.csv,36,0.01,0.0,0.6244566437359081,18,-17,1,0.0,46,-45,1,0.0,122,-121,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_205.csv,37,0.01,0.0,0.6165141420221025,99,-98,1,0.0,63,-62,1,0.0,44,-43,2,2.2807595500734912e-05
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_120.csv,38,0.01,0.0,0.6086726614666215,175,-174,1,0.0,151,-150,1,0.0,29,-28,2,-0.0002375161807734197
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_16.csv,39,0.01,0.0,0.6009309171752603,18,-17,1,0.0,72,-71,1,0.0,35,-34,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_147.csv,40,0.01,0.0,0.5932876405964593,143,-142,1,0.0,95,-94,1,0.0,117,-116,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_153.csv,41,0.01,0.0,0.5857415793134447,271,-270,1,0.0,169,-168,1,0.0,129,-128,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_97.csv,42,0.01,0.0,0.5782914968390049,19,-18,1,5.115991626194649e-05,42,-41,1,0.0,70,-69,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_107.csv,43,0.01,0.0,0.5709361724128857,293,-292,1,0.0,228,-227,1,0.0,53,-52,1,-0.09678602295259159
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_196.csv,44,0.01,0.0,0.5636744008017557,14,-13,1,0.0,16,-15,1,0.0,57,-56,2,3.566918262918329e-05
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_17.csv,45,0.01,0.0,0.5565049921017191,61,-60,1,0.0,41,-40,1,0.0,68,-67,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_228.csv,46,0.01,0.0,0.5494267715433381,94,-93,1,0.0,79,-78,1,0.0,93,-92,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_67.csv,47,0.01,0.0,0.5424385792991389,8,-7,2,0.0,43,-42,2,0.0,115,-114,2,-0.0032301542484959723
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_192.csv,48,0.01,0.0,0.5355392702935645,159,-158,1,0.0,67,-66,1,0.0,28,-27,1,6.876753172576705e-07
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_53.csv,49,0.01,0.0,0.5287277140153429,36,-35,1,0.0,68,-67,1,0.0,44,-43,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_222.csv,50,0.01,0.0,0.5220027943322413,22,-21,1,0.0,84,-83,1,0.0,239,-238,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_137.csv,51,0.01,0.0,0.5153634093081814,13,-12,1,0.0,107,-106,1,0.0,30,-29,1,-0.06546812764217463
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_80.csv,52,0.01,0.0,0.5088084710226752,70,-69,1,0.0,33,-32,1,0.0,6,-5,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_31.csv,53,0.01,0.0,0.5023369053925635,33,-32,1,0.0,66,-65,1,0.0,11,-10,1,1.6446532517204094e-05
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_24.csv,54,0.01,0.0,0.49594765199601337,185,-184,1,0.0,116,-115,1,0.0,61,-60,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_52.csv,55,0.01,0.0,0.48963966389876107,23,-22,1,0.0,38,-37,1,0.0,248,-247,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_229.csv,56,0.01,0.0,0.4834119074825641,6,-5,1,0.0,59,-58,1,0.0,89,-88,2,6.183202406296935e-06
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_231.csv,57,0.01,0.0,0.47726336227583205,12,-11,1,0.0,29,-28,1,0.0,17,-16,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_202.csv,58,0.01,0.0,0.47119302078641456,21,-20,1,0.0,93,-92,1,0.0,161,-160,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_218.csv,59,0.01,0.0,0.4651998883365146,27,-26,1,3.375614430290707e-05,21,-20,1,0.0,102,-101,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_3.csv,60,0.01,0.0,0.4592829828997018,80,-79,1,0.0,54,-53,1,0.0,73,-72,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_69.csv,61,0.01,0.0,0.4534413349399993,30,-29,1,0.0,37,-36,1,0.0,78,-77,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_226.csv,62,0.01,0.0,0.44767398725301655,12,-11,1,7.663576644800614e-06,154,-153,1,0.0,47,-46,2,-0.10088696524391129
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_178.csv,63,0.01,0.0,0.4419799948091041,171,-170,1,0.0,95,-94,1,0.0,52,-51,3,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_182.csv,64,0.01,0.0,0.4363584245985008,30,-29,1,0.0,60,-59,1,0.0,46,-45,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_210.csv,65,0.01,0.0,0.43080835547845325,44,-43,1,0.0,87,-86,1,0.0,77,-76,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_151.csv,66,0.01,0.0,0.42532887802227887,19,-18,1,0.0,46,-45,1,0.0,37,-36,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_46.csv,67,0.01,0.0,0.4199190943703468,5,-4,3,0.0,96,-95,3,0.0,265,-264,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_119.csv,68,0.01,0.0,0.4145781180829574,341,-340,1,0.0,156,-155,1,0.0,70,-69,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_100.csv,69,0.01,0.0,0.4093050739950916,15,-14,1,0.0,157,-156,1,0.0,1000,-999,2,0.03370961146920658
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_128.csv,70,0.01,0.0,0.4040990980730063,32,-31,1,6.987954902959139e-05,101,-100,1,0.0,86,-85,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_207.csv,71,0.01,0.0,0.39895933727265603,4,-3,2,0.0,57,-56,2,0.0,10,-9,2,-0.44923911275161876
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_183.csv,72,0.01,0.0,0.3938849493999134,38,-37,1,0.0,46,-45,1,0.0,52,-51,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_73.csv,73,0.01,0.0,0.38887510297257033,6,-5,1,0.0,202,-201,1,0.0,18,-17,1,3.096409393958197e-05
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_103.csv,74,0.01,0.0,0.3839289770840895,12,-11,1,0.0,239,-238,1,0.0,23,-22,1,-0.47125816907536855
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_127.csv,75,0.01,0.0,0.3790457612690943,285,-284,1,0.0,177,-176,1,0.0,53,-52,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_169.csv,76,0.01,0.0,0.3742246553705658,9,-8,1,0.0,8,-7,1,0.0,35,-34,2,-0.00015179229766765977
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_237.csv,77,0.01,0.0,0.3694648694087305,6,-5,1,0.0,248,-247,1,0.0,1000,-999,2,0.10429640053695878
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_86.csv,78,0.01,0.0,0.36476562345161545,6,-5,1,0.0,163,-162,1,0.0,194,-193,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_93.csv,79,0.01,0.0,0.36012614748724886,4,-3,3,0.0,17,-16,3,0.0,18,-17,2,-0.06789589357328696
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_8.csv,80,0.01,0.0,0.35554568129748837,2,-1,1,2.1192404550631516e-05,92,-91,1,0.0,2,-1,1,2.1192404550631516e-05
