data,num_file,L0,L2,epsilon,RL_iters,RL_rewards,RL_NNZ,RL_OG,MF_iters,MF_rewards,MF_NNZ,MF_OG
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_31.csv,0,0.004555066115474524,0.0,0.9588176803406833,82,-81,1,0.0,82,-81,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_22.csv,1,0.004565537239423754,0.0,0.9286175193271592,92,-91,1,0.0,105,-104,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_66.csv,2,0.004565232277485529,0.0,0.8993685816211985,56,-55,1,0.0,178,-177,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_15.csv,3,0.004561779052257849,0.0,0.8710409062639667,16,-15,1,0.0,16,-15,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_96.csv,4,0.004600299424595534,0.0,0.8436054759857192,122,-121,1,0.0,140,-139,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_33.csv,5,0.004553009115836833,0.0,0.817034187482147,32,-31,1,0.0,54,-53,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_20.csv,6,0.004554287816023086,0.0,0.7912998226269359,33,-32,1,0.0,69,-68,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_90.csv,7,0.004604196667443206,0.0,0.766376020591063,31,-30,1,0.0,217,-216,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_37.csv,8,0.004523281840243598,0.0,0.7422372508402482,57,-56,1,0.0,187,-186,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_64.csv,9,0.0045723604283982745,0.0,0.7188587869829213,35,-34,1,0.0,134,-133,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_24.csv,10,0.004590113500084501,0.0,0.6962166814419001,67,-66,1,0.0,88,-87,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_1.csv,11,0.0045385523239720015,0.0,0.6742877409238496,39,-38,1,0.0,72,-71,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_44.csv,12,0.004568985977603154,0.0,0.6530495026613788,63,-62,1,0.0,68,-67,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_41.csv,13,0.004548216958356898,0.0,0.6324802114034543,14,-13,1,0.0,191,-190,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_25.csv,14,0.004535746475905799,0.0,0.6125587971305506,41,-40,1,0.0,94,-93,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_81.csv,15,0.004570046245142643,0.0,0.5932648534717104,71,-70,1,0.0,66,-65,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_16.csv,16,0.0045750034597709065,0.0,0.5745786168014146,41,-40,1,0.0,84,-83,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_76.csv,17,0.004563216723736858,0.0,0.5564809459948388,62,-61,1,0.0,83,-82,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_86.csv,18,0.004565446420848822,0.0,0.5389533028207684,62,-61,1,0.0,48,-47,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_14.csv,19,0.0045666844899205005,0.0,0.5219777329520796,109,-108,1,0.0,157,-156,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_68.csv,20,0.004538162747412751,0.0,0.5055368475743444,62,-61,1,0.0,133,-132,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_75.csv,21,0.004596324580000487,0.0,0.48961380557371137,43,-42,1,0.0,96,-95,1,0.0
